ROLE,AGE_TYPE,GENDER_TYPE,RACE_TYPE,JOB_CATEGORY_TYPE,LIFE_STAGE_TYPE,CAREER_STAGE_TYPE,SPECIAL_NEEDS_TYPE,EDUCATIONAL_LEVEL_TYPE,LANGUAGE_ABILITIES_TYPE,LITERACY_NUMERACY_PROFICIENCY_TYPE,LEARNING_PREFERENCES_TYPE,PRIOR_KNOWLEDGE_SKILLS_TYPE,RELATIONSHIP_TO_PEERS_TYPE,TENDENCY_TO_COMPETE_OR_COOPERATE_TYPE,SOCIAL_BACKGROUND_TYPE,COMPUTER_LITERACY_TYPE,ATTITUDE_TOWARDS_LEARNING_TYPE,MOTIVATIONAL_LEVEL_TYPE,BARRIERS_TO_LEARNING_INTERESTS,PERSONALITY_TYPE,REASONS_FOR_ATTENDING_COURSE_TYPE
learner,Millennials (25-40),Female,Asian,Entry-level,Late career,starter,None,Bachelor's degree,Proficient,Advanced,Visual,Basic,Supportive,Competitive,Suburban,Advanced,Positive,Low,Accessibility,Ambivert,Skill development
learner,Millennials (25-40),Male,Asian,Entry-level,Early career,Accelerator,Physical,High school or below,Fluent,Intermediate,Reading/Writing,Advanced,Independent,Competitive,Urban,Advanced,Positive,High,Interest,Ambivert,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Late career,Accelerator,None,Some college,Fluent,Advanced,Kinesthetic,Intermediate,Independent,Cooperative,Urban,Advanced,Neutral,Medium,Time,Extroverted,Personal interest
learner,Generation X (40-55),Female,Asian,Entry-level,Late career,starter,Physical,Master's degree,Fluent,None,Reading/Writing,Advanced,Supportive,Cooperative,Suburban,Advanced,Positive,Medium,Resources,Extroverted,Career advancement
learner,Generation X (40-55),Other,African American,Entry-level,Early career,starter,None,Bachelor's degree,Fluent,Intermediate,Visual,Intermediate,Collaborative,Competitive,Suburban,Advanced,Positive,Medium,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Female,African American,Mid-level,Early career,Expert,None,Bachelor's degree,Basic,Intermediate,Visual,Intermediate,Supportive,Cooperative,Rural,Advanced,Neutral,High,Interest,Introverted,Personal interest
learner,Millennials (25-40),Male,African American,Entry-level,Early career,Builder,None,Some college,Basic,Intermediate,Visual,None,Competitive,Cooperative,Suburban,Intermediate,Neutral,Medium,Time,Extroverted,Requirement
learner,Generation Z (18-24),Female,Asian,Senior-level,Early career,starter,Mental,Bachelor's degree,Basic,Advanced,Kinesthetic,None,Collaborative,Cooperative,Suburban,Advanced,Positive,Medium,Interest,Extroverted,Career advancement
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,starter,Mental,Bachelor's degree,Fluent,Basic,Kinesthetic,Intermediate,Competitive,Both,Urban,Advanced,Positive,Low,Resources,Introverted,Requirement
learner,Generation X (40-55),Female,Hispanic/Latino,Entry-level,Late career,starter,None,Master's degree,Fluent,Advanced,Reading/Writing,None,Competitive,Both,Urban,Advanced,Positive,High,Accessibility,Introverted,Skill development
learner,Generation X (40-55),Other,Hispanic/Latino,Entry-level,Retirement,starter,None,Bachelor's degree,Fluent,None,Visual,Intermediate,Competitive,Both,Urban,Advanced,Positive,Medium,Time,Introverted,Career advancement
learner,Millennials (25-40),Other,Caucasian,Mid-level,Early career,Accelerator,Other,Master's degree,Fluent,Intermediate,Visual,Advanced,Independent,Cooperative,Urban,None,Neutral,Medium,Resources,Extroverted,Personal interest
learner,Generation X (40-55),Female,Other,Entry-level,Mid-career,Accelerator,Other,Master's degree,Fluent,Intermediate,Reading/Writing,Basic,Collaborative,Both,Urban,Advanced,Positive,Medium,Time,Ambivert,Skill development
learner,Baby Boomers (55-75),Female,Caucasian,Mid-level,Retirement,starter,Physical,Master's degree,Proficient,Advanced,Reading/Writing,Advanced,Collaborative,Neither,Rural,Intermediate,Positive,High,Resources,Introverted,Career advancement
learner,Generation Z (18-24),Female,Caucasian,Entry-level,Mid-career,starter,None,Some college,Proficient,Basic,Visual,Intermediate,Competitive,Cooperative,Suburban,Advanced,Negative,Low,Resources,Introverted,Skill development
learner,Generation Z (18-24),Female,Other,Mid-level,Mid-career,Accelerator,None,Some college,Fluent,Intermediate,Visual,Advanced,Supportive,Both,Urban,Advanced,Positive,High,Time,Introverted,Career advancement
learner,Baby Boomers (55-75),Male,Asian,Entry-level,Early career,Builder,None,High school or below,Proficient,Basic,Visual,None,Collaborative,Both,Urban,Intermediate,Positive,Low,Resources,Extroverted,Career advancement
admin,Generation Z (18-24),Other,African American,Entry-level,Early career,Builder,None,Some college,Fluent,Advanced,Reading/Writing,Intermediate,Competitive,Neither,Suburban,Intermediate,Positive,High,Time,Extroverted,Career advancement
learner,Baby Boomers (55-75),Male,Caucasian,Senior-level,Mid-career,starter,None,Bachelor's degree,Basic,Intermediate,Reading/Writing,Intermediate,Collaborative,Neither,Suburban,Basic,Positive,Low,Time,Extroverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Senior-level,Early career,starter,Other,Bachelor's degree,Proficient,Basic,Visual,Intermediate,Independent,Cooperative,Urban,Intermediate,Neutral,Low,Accessibility,Extroverted,Skill development
learner,Generation X (40-55),Other,Other,Entry-level,Late career,starter,None,Master's degree,Proficient,Advanced,Visual,None,Collaborative,Competitive,Urban,Advanced,Positive,Low,Accessibility,Extroverted,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Early career,starter,None,Bachelor's degree,Proficient,Advanced,Auditory,Advanced,Independent,Cooperative,Urban,Advanced,Negative,Medium,Accessibility,Introverted,Skill development
learner,Millennials (25-40),Male,Asian,Entry-level,Late career,Builder,None,Some college,Fluent,Basic,Auditory,Intermediate,Competitive,Cooperative,Urban,Intermediate,Positive,High,Interest,Extroverted,Personal interest
admin,Generation X (40-55),Female,Caucasian,Mid-level,Late career,Builder,None,Bachelor's degree,Proficient,Advanced,Reading/Writing,Intermediate,Supportive,Both,Suburban,Advanced,Neutral,High,Accessibility,Ambivert,Skill development
learner,Baby Boomers (55-75),Other,Caucasian,Mid-level,Early career,Builder,None,Master's degree,Fluent,Advanced,Visual,Intermediate,Collaborative,Both,Urban,Intermediate,Neutral,High,Accessibility,Introverted,Personal interest
admin,Generation X (40-55),Female,Other,Senior-level,Mid-career,Builder,None,Some college,Fluent,Intermediate,Visual,Intermediate,Collaborative,Competitive,Suburban,Intermediate,Positive,High,Time,Introverted,Skill development
learner,Generation X (40-55),Male,African American,Senior-level,Mid-career,starter,None,High school or below,Proficient,Advanced,Reading/Writing,Intermediate,Competitive,Neither,Urban,Advanced,Negative,High,Accessibility,Extroverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Senior-level,Early career,starter,None,Bachelor's degree,Proficient,None,Visual,Advanced,Supportive,Competitive,Suburban,Intermediate,Positive,High,Time,Extroverted,Requirement
admin,Millennials (25-40),Male,Asian,Mid-level,Early career,Builder,None,High school or below,Fluent,Basic,Reading/Writing,None,Independent,Competitive,Suburban,Intermediate,Positive,High,Time,Extroverted,Skill development
admin,Millennials (25-40),Female,Asian,Entry-level,Early career,Accelerator,None,Some college,Proficient,Intermediate,Visual,Intermediate,Collaborative,Both,Urban,Advanced,Positive,Medium,Time,Ambivert,Personal interest
learner,Generation X (40-55),Other,Caucasian,Entry-level,Mid-career,starter,None,Bachelor's degree,Proficient,Basic,Kinesthetic,Advanced,Supportive,Competitive,Suburban,None,Positive,Medium,Time,Ambivert,Skill development
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Builder,None,Some college,Proficient,Intermediate,Visual,Intermediate,Collaborative,Competitive,Rural,Intermediate,Positive,Low,Accessibility,Ambivert,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Builder,Other,Some college,Proficient,Advanced,Reading/Writing,None,Supportive,Both,Rural,Intermediate,Positive,High,Time,Ambivert,Personal interest
learner,Generation Z (18-24),Male,Caucasian,Entry-level,Mid-career,starter,None,Some college,Fluent,Advanced,Auditory,Intermediate,Supportive,Neither,Suburban,Basic,Positive,Medium,Time,Extroverted,Skill development
learner,Generation X (40-55),Female,African American,Senior-level,Early career,starter,None,Master's degree,Basic,Advanced,Auditory,Intermediate,Collaborative,Competitive,Urban,Basic,Neutral,Low,Time,Introverted,Personal interest
learner,Millennials (25-40),Male,African American,Entry-level,Retirement,starter,None,Bachelor's degree,Basic,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Urban,Advanced,Neutral,High,Time,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Mid-level,Late career,Builder,Other,Some college,Basic,None,Reading/Writing,Intermediate,Supportive,Both,Rural,Advanced,Positive,High,Interest,Extroverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Mid-level,Early career,starter,None,Master's degree,Basic,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Neutral,High,Interest,Introverted,Career advancement
learner,Generation Z (18-24),Female,African American,Senior-level,Early career,starter,None,High school or below,Proficient,Basic,Auditory,Advanced,Competitive,Competitive,Suburban,Advanced,Positive,Low,Time,Extroverted,Skill development
admin,Millennials (25-40),Female,Caucasian,Mid-level,Early career,Accelerator,None,Master's degree,Proficient,Basic,Reading/Writing,Advanced,Competitive,Competitive,Urban,Intermediate,Positive,Medium,Resources,Introverted,Requirement
learner,Millennials (25-40),Female,African American,Mid-level,Late career,Expert,Mental,Some college,Proficient,Intermediate,Visual,Advanced,Collaborative,Both,Urban,Intermediate,Neutral,High,Time,Introverted,Skill development
learner,Generation X (40-55),Male,African American,Entry-level,Early career,Builder,Other,Master's degree,Proficient,Intermediate,Auditory,Intermediate,Supportive,Neither,Suburban,Intermediate,Positive,Medium,Interest,Introverted,Personal interest
learner,Baby Boomers (55-75),Male,Asian,Mid-level,Retirement,Accelerator,None,Some college,Fluent,Advanced,Visual,Basic,Collaborative,Cooperative,Suburban,Advanced,Positive,High,Resources,Extroverted,Requirement
learner,Generation X (40-55),Female,Asian,Mid-level,Mid-career,starter,None,Doctoral degree,Fluent,Advanced,Visual,Basic,Independent,Both,Suburban,Advanced,Neutral,Medium,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Other,Asian,Mid-level,Early career,starter,Mental,Some college,Proficient,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Rural,Basic,Positive,Medium,Accessibility,Extroverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Entry-level,Mid-career,Accelerator,None,Some college,Fluent,Advanced,Auditory,Basic,Supportive,Competitive,Rural,Basic,Neutral,Medium,Time,Ambivert,Skill development
learner,Generation Z (18-24),Female,Caucasian,Entry-level,Early career,Builder,Other,Some college,Basic,Intermediate,Visual,Intermediate,Competitive,Competitive,Urban,None,Positive,High,Time,Ambivert,Personal interest
learner,Generation X (40-55),Male,African American,Entry-level,Late career,starter,None,Doctoral degree,Proficient,Intermediate,Kinesthetic,Basic,Collaborative,Both,Urban,Advanced,Neutral,Medium,Resources,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Entry-level,Mid-career,Accelerator,None,Bachelor's degree,Fluent,Advanced,Visual,Intermediate,Competitive,Competitive,Suburban,Basic,Neutral,Medium,Accessibility,Extroverted,Career advancement
admin,Generation Z (18-24),Female,African American,Mid-level,Mid-career,Expert,None,High school or below,None,Intermediate,Auditory,Basic,Competitive,Competitive,Urban,Advanced,Neutral,High,Interest,Ambivert,Skill development
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Early career,Builder,None,Bachelor's degree,Basic,Intermediate,Kinesthetic,None,Supportive,Cooperative,Suburban,Intermediate,Positive,High,Resources,Ambivert,Personal interest
admin,Millennials (25-40),Female,Hispanic/Latino,Senior-level,Early career,starter,None,Bachelor's degree,Fluent,Advanced,Kinesthetic,None,Independent,Both,Urban,Intermediate,Positive,High,Interest,Introverted,Career advancement
learner,Generation Z (18-24),Female,Caucasian,Mid-level,Mid-career,starter,Mental,Doctoral degree,Fluent,Intermediate,Kinesthetic,Advanced,Supportive,Competitive,Suburban,Intermediate,Neutral,High,Resources,Extroverted,Requirement
learner,Millennials (25-40),Male,African American,Entry-level,Late career,Expert,None,High school or below,Proficient,Basic,Kinesthetic,Intermediate,Supportive,Both,Urban,Basic,Neutral,Medium,Interest,Extroverted,Requirement
learner,Millennials (25-40),Female,Caucasian,Entry-level,Early career,starter,None,Some college,Proficient,None,Kinesthetic,Intermediate,Competitive,Both,Urban,Intermediate,Neutral,High,Time,Introverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Senior-level,Early career,Builder,Other,Some college,Fluent,Intermediate,Reading/Writing,Basic,Collaborative,Cooperative,Suburban,Basic,Positive,Medium,Interest,Introverted,Skill development
learner,Millennials (25-40),Female,Asian,Mid-level,Late career,starter,None,Master's degree,Fluent,Intermediate,Auditory,Basic,Supportive,Competitive,Suburban,Advanced,Neutral,Medium,Time,Introverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Late career,Accelerator,Physical,Some college,Fluent,Intermediate,Kinesthetic,Advanced,Independent,Neither,Urban,Intermediate,Negative,High,Interest,Introverted,Personal interest
learner,Millennials (25-40),Male,African American,Senior-level,Mid-career,Accelerator,None,Doctoral degree,Fluent,Advanced,Reading/Writing,Intermediate,Supportive,Both,Urban,Intermediate,Neutral,High,Time,Extroverted,Skill development
admin,Millennials (25-40),Male,Other,Entry-level,Mid-career,Accelerator,Mental,Some college,Basic,Intermediate,Auditory,Intermediate,Supportive,Cooperative,Rural,Intermediate,Positive,High,Resources,Ambivert,Skill development
learner,Millennials (25-40),Female,Asian,Mid-level,Mid-career,Builder,None,Master's degree,Fluent,Intermediate,Auditory,Intermediate,Collaborative,Competitive,Urban,Intermediate,Neutral,Medium,Accessibility,Ambivert,Skill development
learner,Millennials (25-40),Male,African American,Mid-level,Late career,starter,None,Bachelor's degree,Fluent,Advanced,Reading/Writing,None,Collaborative,Competitive,Urban,Intermediate,Neutral,Medium,Resources,Extroverted,Career advancement
learner,Baby Boomers (55-75),Male,African American,Executive,Early career,starter,None,Master's degree,Proficient,Basic,Kinesthetic,Intermediate,Supportive,Neither,Urban,Advanced,Positive,High,Time,Introverted,Skill development
learner,Millennials (25-40),Male,Asian,Entry-level,Early career,starter,None,Some college,Proficient,Advanced,Auditory,None,Independent,Both,Suburban,Basic,Positive,Medium,Time,Ambivert,Career advancement
learner,Generation X (40-55),Female,Asian,Entry-level,Early career,starter,None,Some college,Basic,Basic,Auditory,Basic,Collaborative,Both,Rural,Advanced,Neutral,Medium,Time,Introverted,Requirement
learner,Millennials (25-40),Male,Asian,Entry-level,Early career,Builder,None,Some college,Proficient,Intermediate,Kinesthetic,Intermediate,Collaborative,Neither,Urban,Advanced,Positive,High,Interest,Extroverted,Personal interest
learner,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,Accelerator,None,Some college,Fluent,Intermediate,Reading/Writing,None,Collaborative,Neither,Suburban,Intermediate,Neutral,High,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Female,Asian,Executive,Early career,starter,None,Master's degree,Proficient,Basic,Kinesthetic,Intermediate,Independent,Cooperative,Suburban,Advanced,Positive,High,Time,Extroverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Late career,starter,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Collaborative,Both,Urban,Intermediate,Neutral,Medium,Accessibility,Ambivert,Skill development
learner,Millennials (25-40),Male,African American,Senior-level,Mid-career,starter,None,Some college,Basic,Intermediate,Visual,Basic,Supportive,Both,Suburban,Advanced,Neutral,High,Time,Extroverted,Career advancement
learner,Generation X (40-55),Male,Caucasian,Executive,Early career,Accelerator,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Advanced,Supportive,Both,Urban,Intermediate,Neutral,Medium,Resources,Introverted,Skill development
learner,Millennials (25-40),Female,Asian,Mid-level,Retirement,starter,Physical,Master's degree,Fluent,Advanced,Visual,Advanced,Collaborative,Both,Suburban,Advanced,Positive,High,Time,Introverted,Personal interest
learner,Generation X (40-55),Female,Asian,Entry-level,Late career,starter,None,Master's degree,Fluent,Basic,Visual,None,Supportive,Both,Urban,Intermediate,Positive,Medium,Time,Introverted,Personal interest
learner,Millennials (25-40),Female,African American,Entry-level,Late career,starter,None,Doctoral degree,Proficient,Intermediate,Visual,Basic,Supportive,Cooperative,Rural,Intermediate,Positive,Low,Resources,Extroverted,Career advancement
admin,Millennials (25-40),Other,African American,Senior-level,Mid-career,Accelerator,Mental,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Supportive,Cooperative,Urban,Advanced,Neutral,Low,Accessibility,Ambivert,Skill development
learner,Generation X (40-55),Male,Asian,Entry-level,Early career,Builder,Mental,Bachelor's degree,Basic,None,Reading/Writing,None,Supportive,Cooperative,Suburban,None,Positive,High,Resources,Extroverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Executive,Mid-career,starter,None,Bachelor's degree,Proficient,Intermediate,Reading/Writing,Intermediate,Collaborative,Cooperative,Rural,Intermediate,Negative,High,Time,Extroverted,Personal interest
learner,Millennials (25-40),Male,Caucasian,Executive,Early career,starter,None,Master's degree,Fluent,Basic,Reading/Writing,Intermediate,Independent,Both,Urban,Intermediate,Neutral,High,Time,Extroverted,Personal interest
learner,Generation X (40-55),Female,Asian,Senior-level,Late career,Builder,None,Bachelor's degree,Proficient,Advanced,Auditory,Intermediate,Supportive,Both,Suburban,Basic,Positive,High,Accessibility,Introverted,Career advancement
learner,Generation Z (18-24),Male,African American,Entry-level,Early career,starter,None,Bachelor's degree,Basic,Advanced,Kinesthetic,Intermediate,Independent,Both,Rural,Basic,Neutral,Low,Interest,Introverted,Career advancement
learner,Generation X (40-55),Other,Caucasian,Entry-level,Early career,starter,None,Some college,Proficient,None,Visual,None,Independent,Cooperative,Urban,Intermediate,Neutral,High,Resources,Introverted,Skill development
learner,Generation X (40-55),Male,Hispanic/Latino,Mid-level,Early career,Builder,None,Doctoral degree,Proficient,Advanced,Auditory,Intermediate,Collaborative,Both,Suburban,Advanced,Neutral,High,Interest,Introverted,Skill development
learner,Millennials (25-40),Male,Asian,Mid-level,Early career,starter,Physical,Some college,Proficient,Basic,Auditory,Intermediate,Collaborative,Cooperative,Suburban,Basic,Neutral,High,Resources,Ambivert,Career advancement
learner,Generation X (40-55),Male,African American,Senior-level,Mid-career,Accelerator,None,High school or below,None,Advanced,Kinesthetic,Intermediate,Collaborative,Both,Rural,Advanced,Negative,Low,Interest,Extroverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Executive,Late career,starter,Other,Bachelor's degree,Fluent,Basic,Auditory,Intermediate,Independent,Both,Suburban,Intermediate,Neutral,High,Time,Introverted,Personal interest
learner,Baby Boomers (55-75),Male,Caucasian,Mid-level,Early career,starter,None,Master's degree,Fluent,Intermediate,Kinesthetic,Advanced,Collaborative,Neither,Rural,Advanced,Positive,Medium,Resources,Introverted,Career advancement
admin,Millennials (25-40),Male,Caucasian,Mid-level,Early career,Accelerator,Other,Some college,Fluent,Advanced,Kinesthetic,Intermediate,Supportive,Cooperative,Suburban,Intermediate,Positive,High,Accessibility,Ambivert,Career advancement
admin,Baby Boomers (55-75),Female,Caucasian,Executive,Retirement,Builder,None,Bachelor's degree,Proficient,Intermediate,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Intermediate,Neutral,Medium,Interest,Extroverted,Skill development
learner,Generation X (40-55),Female,Asian,Entry-level,Retirement,starter,Physical,Some college,Proficient,Intermediate,Kinesthetic,Intermediate,Independent,Both,Rural,Basic,Positive,Medium,Interest,Introverted,Skill development
learner,Baby Boomers (55-75),Female,Asian,Mid-level,Early career,starter,Mental,Bachelor's degree,Fluent,Intermediate,Auditory,Intermediate,Competitive,Both,Suburban,Basic,Positive,High,Time,Extroverted,Personal interest
learner,Millennials (25-40),Female,Asian,Senior-level,Early career,Builder,None,High school or below,Fluent,Intermediate,Kinesthetic,Advanced,Collaborative,Cooperative,Urban,Intermediate,Neutral,High,Interest,Introverted,Skill development
learner,Millennials (25-40),Male,Asian,Entry-level,Mid-career,starter,None,Some college,Fluent,Intermediate,Auditory,Advanced,Collaborative,Competitive,Urban,Intermediate,Positive,High,Time,Introverted,Requirement
learner,Millennials (25-40),Female,Asian,Executive,Late career,starter,None,Some college,Fluent,Intermediate,Visual,Intermediate,Supportive,Both,Urban,Intermediate,Positive,High,Interest,Introverted,Career advancement
learner,Generation X (40-55),Female,African American,Entry-level,Early career,starter,None,Some college,Fluent,Intermediate,Visual,Intermediate,Independent,Cooperative,Suburban,Advanced,Neutral,Medium,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Late career,starter,None,Some college,Proficient,Intermediate,Kinesthetic,Intermediate,Competitive,Both,Suburban,Intermediate,Positive,Medium,Resources,Introverted,Skill development
admin,Generation X (40-55),Male,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Proficient,Advanced,Auditory,Intermediate,Collaborative,Both,Suburban,Advanced,Positive,High,Resources,Extroverted,Skill development
learner,Generation Z (18-24),Male,Asian,Entry-level,Mid-career,Builder,None,Bachelor's degree,Basic,Intermediate,Auditory,Advanced,Collaborative,Cooperative,Urban,Advanced,Neutral,Medium,Interest,Ambivert,Skill development
learner,Millennials (25-40),Male,Other,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Advanced,Visual,Advanced,Supportive,Both,Urban,Advanced,Neutral,High,Time,Introverted,Career advancement
learner,Millennials (25-40),Female,Hispanic/Latino,Entry-level,Early career,Accelerator,None,High school or below,Proficient,Intermediate,Kinesthetic,Intermediate,Competitive,Cooperative,Urban,Intermediate,Positive,Medium,Interest,Extroverted,Skill development
learner,Generation X (40-55),Female,Asian,Executive,Late career,Expert,None,High school or below,Fluent,Intermediate,Kinesthetic,None,Competitive,Cooperative,Rural,Intermediate,Positive,Medium,Resources,Extroverted,Career advancement
admin,Generation X (40-55),Male,African American,Executive,Late career,Builder,None,Bachelor's degree,Proficient,Basic,Visual,Intermediate,Collaborative,Cooperative,Rural,Intermediate,Negative,High,Resources,Introverted,Career advancement
admin,Baby Boomers (55-75),Female,African American,Mid-level,Early career,starter,None,Bachelor's degree,Fluent,Basic,Reading/Writing,Intermediate,Competitive,Both,Rural,Intermediate,Positive,Medium,Time,Extroverted,Skill development
learner,Generation X (40-55),Male,African American,Entry-level,Early career,Accelerator,None,Some college,Proficient,Intermediate,Visual,Basic,Independent,Cooperative,Urban,Basic,Neutral,High,Resources,Ambivert,Career advancement
learner,Generation X (40-55),Male,African American,Mid-level,Mid-career,starter,None,Bachelor's degree,Proficient,Basic,Auditory,Advanced,Supportive,Cooperative,Urban,Basic,Neutral,High,Resources,Ambivert,Personal interest
learner,Millennials (25-40),Male,African American,Entry-level,Early career,Builder,None,Some college,Proficient,Advanced,Kinesthetic,Intermediate,Supportive,Both,Urban,Intermediate,Negative,High,Resources,Ambivert,Skill development
learner,Generation X (40-55),Female,Caucasian,Executive,Late career,starter,None,Doctoral degree,Fluent,Advanced,Kinesthetic,Advanced,Competitive,Competitive,Urban,Intermediate,Positive,Low,Accessibility,Introverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Mid-level,Retirement,Builder,Other,Bachelor's degree,Basic,None,Visual,Intermediate,Independent,Cooperative,Urban,Advanced,Positive,Medium,Time,Ambivert,Skill development
learner,Generation X (40-55),Male,Other,Entry-level,Mid-career,Builder,None,Some college,Proficient,None,Kinesthetic,Advanced,Competitive,Both,Urban,Advanced,Positive,Low,Accessibility,Introverted,Career advancement
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Late career,starter,None,Doctoral degree,Fluent,Intermediate,Reading/Writing,Advanced,Independent,Both,Rural,Basic,Neutral,High,Accessibility,Introverted,Requirement
learner,Millennials (25-40),Male,Caucasian,Entry-level,Retirement,starter,Mental,Bachelor's degree,Fluent,Basic,Visual,Intermediate,Supportive,Cooperative,Rural,Advanced,Positive,Medium,Resources,Ambivert,Personal interest
learner,Millennials (25-40),Female,Caucasian,Entry-level,Mid-career,Accelerator,None,Master's degree,Proficient,Intermediate,Visual,Intermediate,Collaborative,Competitive,Suburban,Intermediate,Positive,High,Interest,Extroverted,Personal interest
learner,Generation X (40-55),Other,Other,Executive,Early career,Builder,None,High school or below,Fluent,Advanced,Kinesthetic,Basic,Supportive,Cooperative,Urban,Intermediate,Positive,High,Time,Introverted,Personal interest
learner,Generation Z (18-24),Female,African American,Entry-level,Mid-career,Expert,None,High school or below,Proficient,Advanced,Auditory,Advanced,Supportive,Cooperative,Rural,None,Positive,High,Interest,Extroverted,Career advancement
learner,Millennials (25-40),Female,African American,Senior-level,Early career,starter,None,Some college,Proficient,Advanced,Auditory,Intermediate,Collaborative,Cooperative,Suburban,Intermediate,Positive,Low,Resources,Introverted,Skill development
learner,Generation X (40-55),Female,Other,Entry-level,Mid-career,starter,Physical,Bachelor's degree,Proficient,Basic,Auditory,Intermediate,Collaborative,Cooperative,Rural,Basic,Negative,Medium,Resources,Introverted,Skill development
learner,Generation X (40-55),Male,Caucasian,Entry-level,Late career,starter,None,Some college,Proficient,Intermediate,Reading/Writing,Intermediate,Competitive,Neither,Rural,Intermediate,Positive,High,Time,Ambivert,Career advancement
learner,Generation Z (18-24),Male,Asian,Entry-level,Mid-career,starter,None,Some college,Fluent,Advanced,Reading/Writing,Advanced,Competitive,Cooperative,Urban,Intermediate,Positive,Medium,Time,Extroverted,Personal interest
learner,Generation X (40-55),Female,Caucasian,Executive,Early career,starter,Other,Bachelor's degree,Fluent,None,Auditory,Intermediate,Collaborative,Cooperative,Urban,Basic,Neutral,Low,Interest,Introverted,Skill development
learner,Millennials (25-40),Female,Caucasian,Mid-level,Early career,Builder,None,Bachelor's degree,Fluent,Intermediate,Kinesthetic,Advanced,Collaborative,Neither,Suburban,Intermediate,Positive,High,Time,Introverted,Career advancement
learner,Millennials (25-40),Male,African American,Entry-level,Early career,starter,None,Some college,Fluent,Intermediate,Visual,Advanced,Supportive,Neither,Suburban,Advanced,Neutral,High,Time,Extroverted,Skill development
learner,Millennials (25-40),Male,Other,Senior-level,Early career,Builder,None,Master's degree,Basic,Intermediate,Reading/Writing,Basic,Supportive,Neither,Urban,Advanced,Positive,High,Time,Introverted,Requirement
admin,Generation Z (18-24),Male,Hispanic/Latino,Mid-level,Early career,starter,Physical,High school or below,Proficient,Advanced,Kinesthetic,Basic,Supportive,Both,Rural,Intermediate,Positive,Medium,Resources,Introverted,Skill development
learner,Generation X (40-55),Male,Hispanic/Latino,Entry-level,Mid-career,starter,None,Bachelor's degree,Fluent,Advanced,Visual,Advanced,Collaborative,Competitive,Suburban,None,Positive,High,Resources,Introverted,Skill development
learner,Generation X (40-55),Male,Other,Entry-level,Mid-career,Accelerator,None,Some college,Fluent,Basic,Kinesthetic,Intermediate,Collaborative,Competitive,Suburban,Basic,Positive,High,Resources,Introverted,Skill development
learner,Generation X (40-55),Female,Caucasian,Entry-level,Early career,Accelerator,None,Some college,Fluent,Intermediate,Auditory,None,Competitive,Neither,Suburban,Advanced,Positive,Medium,Accessibility,Extroverted,Career advancement
learner,Millennials (25-40),Female,Caucasian,Mid-level,Mid-career,Builder,None,Doctoral degree,Fluent,Intermediate,Visual,Basic,Collaborative,Cooperative,Rural,Intermediate,Positive,High,Time,Ambivert,Requirement
admin,Generation Z (18-24),Female,Hispanic/Latino,Entry-level,Mid-career,Accelerator,Other,Bachelor's degree,Fluent,Intermediate,Reading/Writing,Intermediate,Collaborative,Both,Suburban,Intermediate,Positive,Medium,Resources,Introverted,Skill development
learner,Millennials (25-40),Other,Asian,Entry-level,Early career,Accelerator,None,Some college,Basic,Intermediate,Reading/Writing,Advanced,Collaborative,Cooperative,Suburban,None,Positive,High,Accessibility,Ambivert,Career advancement
